*********************** | ******* |     Test: TEST_NRTWD
*********************** | ******* |     Test: TEST_RTWD
*********************** | ******* |     Test: TEST_PROCCPU
*********************** | ******* |     Test: TEST_PIDS
*********************** | ******* |     Decision: DECISION_RTWD
*********************** | ******* |         Action: ACTION_STBY
*********************** | ******* |         Action: ACTION_ABRT
*********************** | ******* |         Action: ACTION_BASE
*********************** | ******* |         Action: ACTION_REBOOT
*********************** | ******* |     Decision: DECISION_NAIL
*********************** | ******* |         Action: ACTION_NAIL
*********************** | ******* | Filter: FILTER_RTWD (Index=0) - End configuration
*********************** | ******* | Filter: FILTER_BOOT (Index=1) - Begin configuration
*********************** | ******* |     Test: REBOOT_REQ
*********************** | ******* |     Decision: DECISION_BOOT
*********************** | ******* |         Action: ACTION_STBY
*********************** | ******* |         Action: ACTION_BASE
*********************** | ******* |         Action: ACTION_REBOOT
*********************** | ******* | Filter: FILTER_BOOT (Index=1) - End configuration
*********************** | ******* | DISABLED FILTERS:
Fri Jan 22 20:56:23:486 |    3463 | TEST_NRTWD:
Fri Jan 22 20:56:23:486 |    3463 | 	Successive results to be checked: 8
Fri Jan 22 20:56:23:486 |    3463 | TEST_RTWD:
Fri Jan 22 20:56:23:487 |    3463 | 	Successive results to be checked: 5
Fri Jan 22 20:56:23:488 |    3463 | TEST_PIDS:
Fri Jan 22 20:56:23:488 |    3463 | 	Configured process:
Fri Jan 22 20:56:23:488 |    3463 | 		30, 0: syslog-ng
Fri Jan 22 20:56:23:488 |    3463 | 		0, 0: mwd
Fri Jan 22 20:56:23:489 |    3463 | 		0, 0: sysupHaSysup
Fri Jan 22 20:56:23:489 |    3463 | 		0, 0: itProxy
Fri Jan 22 20:56:23:489 |    3463 | 		10, 0: pre-ng
Fri Jan 22 20:56:23:489 |    3463 | 	Found process:
Fri Jan 22 20:56:23:492 |    3463 | 		30, 1/0: 2734 (syslog-ng) S 1 2733 2733 0 -1 4194368 74 0 1 0 0 0 0 0 20 0 1 0 2068 7233536 447 18446744073709551615 4194304 4203684 281474598367968 0 0 0 0 1 0 1 0 0 17 1 0 0 0 0 0 4271560 4273040 937025536 281474598371057 281474598371077 281474598371077 281474598371300 0
Fri Jan 22 20:56:23:492 |    3463 | 		30, 2/0: 2735 (syslog-ng) S 2734 2735 2735 0 -1 4194624 1022 0 37 0 12 11 0 0 20 0 5 0 2068 311152640 2129 18446744073709551615 4194304 4203684 281474598367968 0 0 0 0 4198400 90627 0 0 0 17 2 0 0 8 0 0 4271560 4273040 937025536 281474598371057 281474598371077 281474598371077 281474598371300 0
Fri Jan 22 20:56:23:493 |    3463 | 		0, 1/0: 3298 (sysupHaSysup) S 1 3298 3298 0 -1 4194368 97 0 0 0 0 0 0 0 -61 0 1 0 2420 4919296 312 18446744073709551615 4194304 4224108 281474421139920 0 0 0 0 3670016 90144 1 0 0 17 1 60 2 0 0 0 4291944 4293232 426762240 281474421140940 281474421141003 281474421141003 281474421141465 0
Fri Jan 22 20:56:23:493 |    3463 | 		0, 1/0: 3304 (mwd) S 1 3304 2927 0 -1 4194368 142 5983 0 0 0 0 3 7 -39 0 2 0 2423 80896000 461 18446744073709551615 4194304 4290244 281474948899632 0 0 0 0 0 90112 0 0 0 17 2 38 2 0 0 0 4357432 4359264 109674496 281474948902583 281474948902605 281474948902605 281474948902882 0
Fri Jan 22 20:56:23:493 |    3463 | 		10, 1/0: 3317 (pre-ng) S 1 2927 2927 0 -1 4194368 225 0 0 0 1 0 0 0 20 0 1 0 2527 5701632 578 18446744073709551615 4194304 4225792 281474016446048 0 0 0 0 6 28673 1 0 0 17 2 0 0 10 0 0 4291936 4296680 1016291328 281474016448039 281474016448064 281474016448064 281474016448479 0
Fri Jan 22 20:56:23:493 |    3463 | 		0, 1/0: 3321 (itProxy) S 1 3321 3321 0 -1 4194624 172 0 0 0 0 0 0 0 -31 0 1 0 2536 5754880 562 18446744073709551615 4194304 4208456 281474488611888 0 0 0 0 3670016 94208 1 0 0 17 0 30 1 0 0 0 4275576 4276656 107900928 281474488614364 281474488614426 281474488614426 281474488614878 0
